,x,y,z
Digit 2,-8.709996,-5.432196,-5.3171935
Digit 7,-0.08785494,12.29315,2.4731412
Digit 1,-8.205832,10.493349,-3.3682384
Digit 3,-9.655794,-9.223094,3.3847418
Digit 5,1.3121934,-3.368379,6.746826
Digit 3,-3.2141798,-5.7618914,6.8679504
Digit 8,-6.642718,1.3028424,6.4069743
Digit 6,6.7869935,-6.8102317,-5.954978
Digit 7,3.7415006,10.293788,6.960988
Digit 0,8.838276,-12.292064,4.45698
Digit 3,-5.1628213,-2.4441495,9.4118185
Digit 3,-11.586632,-6.8680515,3.6196077
Digit 1,-4.3231115,7.7051926,-9.570952
Digit 2,-3.7813694,-3.8474545,-10.10743
Digit 1,-1.3401161,6.547002,-10.8137245
Digit 0,3.0500326,-13.926011,5.623665
Digit 0,6.533254,-16.15527,-0.2726448
Digit 3,-10.082017,-5.933994,4.051275
Digit 9,7.5512013,2.1780763,9.43969
Digit 0,7.0942645,-15.554634,2.3214517
Digit 0,5.2536364,-15.474773,-3.7569933
Digit 7,2.6746256,15.86586,-0.73469627
Digit 6,10.911876,-9.000263,-3.9168363
Digit 7,3.3626187,12.532649,3.4333465
Digit 7,2.197412,15.73303,2.669467
Digit 7,-0.061347358,13.02553,3.1805112
Digit 0,4.4683104,-15.416663,0.68231887
Digit 8,-2.271247,-6.531335,12.48402
Digit 2,-0.53095543,2.283052,-6.7050714
Digit 0,4.080598,-15.540367,0.4247875
Digit 1,-10.628581,9.005098,0.8373558
Digit 3,-2.746541,-4.4138727,8.750112
Digit 7,3.7862258,17.495085,0.7137217
Digit 1,-10.818823,11.051768,-0.44723767
Digit 3,-8.500036,-11.056119,5.84993
Digit 2,-12.320344,-2.3277042,-10.751556
Digit 3,-8.45651,-7.603062,11.161035
Digit 0,4.545553,-15.112321,0.85538536
Digit 0,0.7075475,-11.678988,-2.7618124
Digit 7,2.0626998,8.648819,8.406264
Digit 5,-1.3282436,-7.353703,2.9442225
Digit 3,-6.0172496,-4.6138897,10.9540615
Digit 8,-2.7151477,-7.929634,8.377773
Digit 9,5.881193,3.658602,4.1147346
Digit 6,3.253525,-6.5719314,-7.1241317
Digit 3,-1.8271695,-8.560011,9.929187
Digit 7,-4.6071014,9.242564,-5.941143
Digit 4,11.083243,-1.9087744,6.6654096
Digit 4,7.432853,6.18651,-5.0047617
Digit 8,-5.202865,-0.12622732,-0.14967264
Digit 6,8.685694,-8.709157,-7.234259
Digit 4,4.351618,0.9762991,2.6273549
Digit 3,-5.146529,-8.240059,9.05253
Digit 5,-0.06172872,-5.2143106,3.712883
Digit 7,2.748294,14.199037,4.3081155
Digit 8,-6.529158,0.8929625,6.604234
Digit 4,8.086588,7.9757175,-6.2272744
Digit 9,4.476984,4.322647,8.305915
Digit 7,-2.1597419,9.762895,1.9160997
Digit 9,7.2361608,7.5271482,0.49625155
Digit 8,-5.254806,3.9339507,-1.9098763
Digit 0,1.3748101,-12.522309,3.9797127
Digit 2,-7.728657,-2.3239996,-10.47536
Digit 9,-3.8379438,10.192303,-7.62353
Digit 5,0.5323059,-6.321047,7.4732146
Digit 6,5.1893044,-10.377471,-6.3344817
Digit 7,3.3011124,17.058083,0.55156785
Digit 4,6.2619915,9.693895,-6.5347023
Digit 2,-8.415796,-5.167006,-7.9298563
Digit 9,10.30748,-5.080975,6.7621517
Digit 7,1.804687,12.672829,7.413433
Digit 9,4.711516,9.011948,-2.3218281
Digit 6,13.963839,-7.020679,0.574161
Digit 3,-7.4778595,-6.961898,4.3115134
Digit 9,-4.1546903,5.518069,-3.1616464
Digit 3,-6.0577073,-8.75273,2.8666143
Digit 5,0.47899246,2.7086225,1.1740596
Digit 9,9.1067295,6.57799,3.7709062
Digit 7,0.9909107,16.948698,1.1717312
Digit 2,-6.9247475,-6.219426,-10.85915
Digit 2,-3.3854246,-12.800392,-6.2034936
Digit 8,-3.6313117,5.5973363,-2.6943357
Digit 8,-6.5293727,0.3360097,3.0308068
Digit 9,7.667385,5.519886,6.2624993
Digit 1,-5.5283957,4.2340364,-8.880273
Digit 8,-2.9221573,1.6683286,9.896958
Digit 4,7.1693707,4.1012297,-2.402638
Digit 7,4.0672045,17.330345,0.18307878
Digit 0,0.38852608,-16.053606,-2.528971
Digit 3,-2.665212,-5.3134613,8.390825
Digit 5,1.5325127,-2.0950425,-5.9991317
Digit 7,-0.23111482,14.529405,0.18832326
Digit 5,2.5961866,-0.85437876,-7.304085
Digit 6,10.281675,-6.7470794,-6.9385557
Digit 0,0.45502782,-12.39225,-2.559911
Digit 4,4.319979,5.0267696,-3.9612923
Digit 6,6.3988924,-7.627752,-6.4803653
Digit 1,-11.286572,7.4007983,-4.6839366
Digit 0,3.6854599,-9.660139,4.5575595
